fss1,(bus) stop,arrêt
fss923,to impress,impressionner
fss924,to impress (someone else),épater
fss925,to inhabit ; to live in,habite (habiter)
fss926,to invite,inviter
fss927,to joke,plaisante (plaisanter)
fss928,to jump,sauter
fss929,to keep a cool head,garder la tête froide
fss930,to kick out,mettre à la porte
fss931,to kiss,embrasse (embrasser)
fss932,to know,savoir ; connaître
fss933,to laugh,rire
fss934,to learn,apprennes (apprendre)
fss935,to leave ; to let,laisser
fss936,to listen,écouter
fss937,to live,vivre
fss938,to live somewhere,habiter
fss939,to lock the door,fermer sa porte à clé
fss940,to look ; to watch,regarder
fss941,to look disapprovingly at (someone),fait les gros yeux (faire les gros yeux )
fss942,to look for something,recherche (rechercher)
fss943,to lose,perd (perdre)
fss944,to lose your marbles,déraille ( dérailler)
fss945,to lose your mind,perdait la tête ( perdre la tête)
fss946,to love,aimer
fss947,to make a U-turn,faire demi-tour
fss948,to make an appointment,pris un rendez-vous (prendre un rendez-vous)
fss949,to make conversation,faire la conversation
fss950,to make friends,se faire des amis
fss951,to meet,rencontrer
fss952,to miss,manquer ; rater
fss953,to move,bouger
fss954,to move (to a new home),déménager
fss955,to move in,emménager
fss956,to negotiate,négocier
fss957,to not notice a thing,n’y voir que du feu
fss958,to observe,observer
fss959,to observe,observer
fss960,to open,ouvrir
fss961,to open the window,ouvert la fenêtre (ouvrir la fenêtre)
fss962,to order (a drink),commandent (commander)
fss963,to pace ; to stride along,arpenter
fss964,to pack ; to wrap,emballer
fss965,to park,se garer
fss966,to pass by,passer
fss967,to pay,payer
fss968,to pay a visit,rendre visite
fss969,to pay for someone,invite (inviter)
fss970,to pay the bill,payer la note
fss971,to pile up ; to stack up,empiler
fss972,to plan ; to organize ; to schedule,planifier
fss973,to plant some trees,planté des arbres (planter des arbres)
fss974,to play,jouer
fss975,to play along ; to play the game,jouer le jeu
fss976,to play cards,jouer aux cartes
fss977,to play checkers,jouer aux dames
fss978,to pluck the courage to do something,prendre son courage à deux mains
fss979,to pray,prier
fss980,to prepare ; to get ready,préparer
fss981,to press charge,porter plainte
fss982,to put,mettre
fss983,to put (something) back,remettre
fss984,to put a dish in the oven,mis un plat au four (mettre un plat au four)
fss985,to put on some socks,enfiler ses chaussettes
fss986,to put shoes on,mettant ses chaussures (mettre ses chaussures)
fss987,to put something somewhere,posant ( poser)
fss988,to rain,pleut (pleuvoir)
fss989,to reach,rejoindre
fss990,to realize,s’est rendu compte (se rendre compte)
fss991,to recognize ; to acknowledge,se rendre à l’évidence
fss992,to register ; to check-in,s’enregistrer
fss993,to remind someone of the rules,rappeler à l’ordre
fss994,to reorient,reconvertir (se reconvertir )
fss995,to repeat ; to say many times,répéter
fss996,to rest,reposer (se)
fss997,to ride a motorbike,font de la moto (faire de la moto)
fss998,to ring the door bell,sonne (sonner)
fss999,to round up or down,arrondir
fss1000,to run,courir
fss1001,to say,dire
fss1002,to search ; to look for,chercher
fss1003,to see,voir
fss1004,to see things pass before your eyes,défiler (voir quelque chose défiler)
fss1005,to shake hands,serre la main (serrer la main)
fss1006,to share,partage (partager)
fss1007,to shave,se rasait ( se raser)
fss1008,to show,montrer
fss1009,to shower,se doucher
fss1010,to sign,signer
fss1011,to sing,chanter
fss1012,to sit down,s’asseoir
fss1013,to sleep,dormir
fss1014,to smile,sourire
fss1015,to speak,parler
fss1016,to spend,dépenser
fss1017,to spice up,relever
fss1018,to stand apart,se tenir à l’écart
fss1019,to start,démarrer ; commencer
fss1020,to start ; to throw oneself into something,se lancer
fss1021,to stay,rester
fss1022,to stop,arrêter
fss1023,to stop oneself from doing something,s’empêcher
fss1024,to stretch a hand,tend la main (tendre la main)
fss1025,to study,étudier
fss1026,to study ; to review,réviser
fss1027,to subtract,soustraire
fss1028,to surprise,surprendre
fss1029,to survive,survit (survivre)
fss1030,to swallow,avaler
fss1031,to swim,nager
fss1032,to switch on the gas cooker,allumé le gaz ( allumer le gaz)
fss1033,to take,prendre
fss1034,to take a seat,prend place (prendre place)
fss1035,to take a stroll,se promener
fss1036,to take care,soigner
fss1037,to take his medicine,prenait ses médicaments (prendre ses médicaments)
fss1038,to take pictures,photographier
fss1039,to take shelter,s’abriter
fss1040,to taste ; to try,goûter
fss1041,to taste with enjoyment,savourer ; savourer
fss1042,to teach,donne des cours ( donner des cours)
fss1043,to tell a story,raconter
fss1044,to tempt ; to attempt,tente (tenter)
fss1045,to the left,à gauche
fss1046,to the right,à droite
fss1047,to think,penser
fss1048,to think ; to reflect on,réfléchir
fss1049,to throw,lancer
fss1050,to tidy up ; to clean,faire le ménage
fss1051,to travel,voyager
fss1052,to try,essayer
fss1053,to try on,essayer
fss1054,to turn,tournez (tourner)
fss1055,to understand,comprendre
fss1056,to unlock,débloquer
fss1057,to unwind,se défouler
fss1058,to visit,visiter
fss1059,to wait,attendre
fss1060,to wait in line,faire la queue
fss1061,to walk,marcher
fss1062,to walk along,longez (longer)
fss1063,to want,vouloir
fss1064,to wash oneself ; to take a bath,se laver
fss1065,to wash the car,lavant la voiture (laver la voiture)
fss1066,to waste,gâcher
fss1067,to watch television,regarder la télévision
fss1068,to wave at somebody,fait signe de la main (faire signe de la main)
fss1069,to whom am I speaking to? (formal),à qui ai-je l’honneur ?
fss1070,to work,travailler
fss1071,to write,écrire
fss1072,toast with jam,tartine
fss1073,today,aujourd’hui
fss1074,tomcat,matou
fss1075,tomorrow,demain
fss1076,too ; as well,aussi
fss1077,tooth,dent
fss1078,totally full,plein à craquer
fss1079,touching,touchant;touchante
fss1080,tough cookie,dur à cuire
fss1081,toward,vers
fss1082,trial,procès
fss1083,twelve,douze
fss1084,twenty,vingt
fss1085,two,deux
fss1086,two thousand ; three thousand ; four thousand...,deux mille ; trois mille ; quatre mille…
fss1087,two-in-one,deux en un
fss1088,ungrateful ; unappreciative,ingrat;ingrate
fss1089,unpleasant ; unfriendly,antipathique
fss1090,unpopular ; out of favor,le moins aimé;la moins aimée
fss1091,unquestionably,incontestablement
fss1092,until ; to (a spot),jusqu’à
fss1093,upon waking up,réveil
fss1094,vaguely,vaguement
fss1095,vegetable,légume
fss1096,vegetables tied together,ballotin
fss1097,vegetarian,végétarien
fss1098,very good,très bien
fss1099,very good,très bien
fss1100,video game,jeu vidéo
fss1101,visionary,visionnaire
fss1102,visor,visière
fss1103,voice,voix
fss1104,volunteer,bénévole
fss1105,waiter,serveur
fss1106,warned,prévenu;prévenue
fss1107,warning,mise en garde
fss1108,was ten years old,avait dix ans
fss1109,wasted ; ruined,gâché ; gâchée
fss1110,water,eau
fss1111,we,nous
fss1112,we (informal),on
fss1113,we were very close,nous étions très proches
fss1114,we will do,nous ferons
fss1115,week,semaine
fss1116,weight,poids
fss1117,welcome,bienvenue
fss1118,West,ouest
fss1119,what ; to what,quoi ; à quoi
fss1120,what a pity,dommage
fss1121,what I had written,ce que j’avais écrit
fss1122,what I have written,ce que j’ai écrit
fss1123,what I will want,ce que je voudrai
fss1124,what is your name (formal),quel est votre prénom ?
fss1125,what is your name (informal),comment tu t’appelles ?
fss1126,what is your nationality (formal),quelle est votre nationalité ?
fss1127,what they wanted to do,ce qu’ils voulaient faire
fss1128,what’s ahead ; future ; destiny,avenir
fss1129,when,quand
fss1130,when I grow up,quand je serai grande
fss1131,when they were in school,lorsqu’ils étaient à l’école
fss1132,when they would be grown ups,quand ils seraient grands
fss1133,when they would have grown up,quand ils auraient grandi
fss1134,when you will find,quand tu trouveras
fss1135,where,où
fss1136,where do you come from (informal),tu viens d’où ?
fss1137,which,lequel (sing. masc.); lesquels (plur. masc.); laquelle (sing. fem.) ; lesquelles (plur. fem.)
fss1138,whim ; tantrum,caprice
fss1139,who ; to whom,qui ;à qui
fss1140,who is it? (informal),qui c’est ?
fss1141,who is this ? (formal),qui est là ?
fss1142,who wrote,qui a écrit
fss1143,why,pourquoi
fss1144,wild ; outrageous,extravagant;extravagante
fss1145,wild animals ; forest animals,animaux de la forêt
fss1146,wind,vent
fss1147,window,vitrine
fss1148,window-shopping,lèche-vitrine
fss1149,wine,vin
fss1150,wine waiter,sommelier
fss1151,winter,hiver
fss1152,wiring,câblage
fss1153,wisely ; calmly,sagement
fss1154,with no fuss ; no frills,sans chichis
fss1155,without,sans
fss1156,without any doubt,sans doute
fss1157,wonders ; marvels,merveilles
fss1158,worst,pire
fss1159,wrapping,emballage
fss1160,writing,écriture
fss1161,wrote in a notebook,écrivit dans un cahier
fss1162,yarn bombing,tricot urbain
fss1163,you,tu (informal); vous (formal);toi
fss1164,you (formal),vous
fss1165,you (informal),tu
fss1166,you (plur.),vous
fss1167,you don’t like it (formal),vous ne l’aimez pas
fss1168,you had kids,tu as eu des enfants
fss1169,you will be,tu seras
fss1170,you will have,tu vas avoir
fss1171,you will revolutionize,tu vas révolutionner
fss1172,young,jeune
fss1173,your,ton (masc.) ; ta (fem.); tes (plur.);votre (sing.) ; vos (plur.)
